year,month,capital,country_code,gas_ppi,elect_ppi,country_clean
2009,Apr,Paris,(FR),4.693065671014987,10.778673106030778,France
2009,Apr,Berlin,(DE),6.69875261198198,19.726793759541277,Germany
2009,Apr,London,(GB),4.222433738303696,14.212711118294296,United Kingdom
2009,Apr,Athens,(GR),4.028790405093275,12.94744344824999,Greece
2009,Apr,Budapest,(HU),NA,NA,Hungary
2009,Apr,Dublin,(IE),4.917857510136381,17.019820393392088,Ireland
2009,Apr,Rome,(IT),6.5936154944742995,16.471676504272754,Italy
2009,Apr,Riga,(LV),NA,NA,Latvia
2009,Apr,Vilnius,(LT),NA,NA,Lithuania
2009,Apr,Luxembourg,City,4.370903795150502,16.00083612040134,Luxembourg
2009,Apr,Amsterdam,(NL),6.659162253470987,17.955322178711288,Netherlands
2009,Apr,Warsaw,(PL),NA,NA,Poland
2009,Apr,Lisbon,(PT),6.532436729427737,19.760228963166586,Portugal
2009,Apr,Bucharest,(RO),NA,NA,Romania
2009,Apr,Belgrade,(RS),NA,NA,Serbia
2009,Apr,Bratislava,(SK),NA,NA,Slovakia
2009,Apr,Ljubljana,(SI),NA,NA,Slovenia
2009,Apr,Madrid,(ES),6.077869786430247,16.71042277965304,Spain
2009,Apr,Stockholm,(SE),12.740260827906509,13.139015843997562,Sweden
2009,Apr,Bern,(CH),NA,9.239618910659715,Switzerland
2009,Apr,Kyiv,(UA),NA,NA,Ukraine
2009,Apr,Average,-,6.128863914643442,16.081125392800285,NA
2009,Apr,Average,-,6.128863914643442,NA,NA
2009,May,Vienna,(AT),5.981565830566716,17.601678762226058,Austria
2009,May,Brussels,(BE),4.805976754533989,16.86795033483134,Belgium
2009,May,Sofia,(BG),NA,NA,Bulgaria
2009,May,Zagreb,(HR),NA,NA,Croatia
2009,May,Prague,(CZ),NA,NA,Czech Republic
2009,May,Copenhagen,(DK),6.478183541322161,22.51567444040783,Denmark
2009,May,Tallinn,(EE),NA,NA,Estonia
2009,May,Paris,(FR),4.693065671014987,10.778673106030778,France
2009,May,Berlin,(DE),6.69875261198198,19.726793759541277,Germany
2009,May,London,(GB),4.222072557743379,14.215369369292736,United Kingdom
2009,May,Athens,(GR),4.286980427547843,12.94744344824999,Greece
2009,May,Budapest,(HU),NA,NA,Hungary
2009,May,Dublin,(IE),4.905546415407298,17.019820393392088,Ireland
2009,May,Rome,(IT),6.570424647852857,16.448085826995175,Italy
2009,May,Riga,(LV),NA,NA,Latvia
2009,May,Vilnius,(LT),NA,NA,Lithuania
2009,May,Luxembourg,City,4.378313159698997,16.028177257525083,Luxembourg
2009,May,Amsterdam,(NL),6.659162253470987,17.955322178711288,Netherlands
2009,May,Warsaw,(PL),NA,NA,Poland
2009,May,Lisbon,(PT),6.532436729427737,19.760228963166586,Portugal
2009,May,Bucharest,(RO),NA,NA,Romania
2009,May,Belgrade,(RS),NA,NA,Serbia
2009,May,Bratislava,(SK),NA,NA,Slovakia
2009,May,Ljubljana,(SI),NA,NA,Slovenia
2009,May,Madrid,(ES),6.077869786430247,16.661046133545966,Spain
2009,May,Stockholm,(SE),12.749152828237863,12.691600650010155,Sweden
2009,May,Bern,(CH),NA,9.239618910659715,Switzerland
2009,May,Kyiv,(UA),NA,NA,Ukraine
2009,May,Average,-,6.216725435191821,16.038273315187308,NA
2009,May,Average,-,6.074250229659789,NA,NA
2009,June,Vienna,(AT),5.981565830566716,17.601678762226058,Austria
2009,June,Brussels,(BE),4.776386545464235,16.960672860010302,Belgium
2009,June,Sofia,(BG),NA,NA,Bulgaria
2009,June,Zagreb,(HR),NA,NA,Croatia
2009,June,Prague,(CZ),NA,NA,Czech Republic
2009,June,Copenhagen,(DK),6.7602922392045794,22.519668737060044,Denmark
2009,June,Tallinn,(EE),NA,NA,Estonia
2009,June,Paris,(FR),4.6945705224109116,10.778673106030778,France
2009,June,Berlin,(DE),6.69875261198198,19.726793759541277,Germany
2009,June,London,(GB),4.221843485250429,14.143277602215067,United Kingdom
2009,June,Athens,(GR),4.333711653331475,12.94744344824999,Greece
2009,June,Budapest,(HU),NA,NA,Hungary
2009,June,Dublin,(IE),4.905546415407298,17.019820393392088,Ireland
2009,June,Rome,(IT),6.570424647852857,16.448085826995175,Italy
2009,June,Riga,(LV),NA,NA,Latvia
2009,June,Vilnius,(LT),NA,NA,Lithuania
2009,June,Luxembourg,City,4.370903795150502,16.00083612040134,Luxembourg
2009,June,Amsterdam,(NL),6.659162253470987,17.955322178711288,Netherlands
2009,June,Warsaw,(PL),NA,NA,Poland
2009,June,Lisbon,(PT),6.532436729427737,19.760228963166586,Portugal
2009,June,Bucharest,(RO),NA,NA,Romania
2009,June,Belgrade,(RS),NA,NA,Serbia
2009,June,Bratislava,(SK),NA,NA,Slovakia
2009,June,Ljubljana,(SI),NA,NA,Slovenia
2009,June,Madrid,(ES),6.077869786430247,16.661046133545966,Spain
2009,June,Stockholm,(SE),12.749153202327594,12.651101970343285,Sweden
2009,June,Bern,(CH),NA,9.239618910659715,Switzerland
2009,June,Kyiv,(UA),NA,NA,Ukraine
2009,June,Average,-,6.09518712273411,16.035392331051504,NA
2009,June,Average,-,6.09518712273411,NA,NA
2009,July,Vienna,(AT),5.981565830566716,17.601678762226058,Austria
2009,July,Brussels,(BE),4.758532426239409,17.0231983942306,Belgium
2009,July,Sofia,(BG),NA,NA,Bulgaria
2009,July,Zagreb,(HR),NA,NA,Croatia
2009,July,Prague,(CZ),NA,NA,Czech Republic
2009,July,Copenhagen,(DK),6.615920666319611,21.810803156373296,Denmark
2009,July,Tallinn,(EE),NA,NA,Estonia
2009,July,Paris,(FR),4.663723354068786,10.778673106030778,France
2009,July,Berlin,(DE),6.383052794429759,19.726793759541277,Germany
2009,July,London,(GB),4.221017240323116,14.152209325569823,United Kingdom
2009,July,Athens,(GR),4.7157394241126696,12.94744344824999,Greece
2009,July,Budapest,(HU),NA,NA,Hungary
2009,July,Dublin,(IE),4.905546415407298,17.019820393392088,Ireland
2009,July,Rome,(IT),6.096887392202351,16.290488356385634,Italy
2009,July,Riga,(LV),NA,NA,Latvia
2009,July,Vilnius,(LT),NA,NA,Lithuania
2009,July,Luxembourg,City,4.448474236622074,16.028177257525083,Luxembourg
2009,July,Amsterdam,(NL),5.124748463866145,17.39880740477038,Netherlands
2009,July,Warsaw,(PL),NA,NA,Poland
2009,July,Lisbon,(PT),6.455836972063221,19.760228963166586,Portugal
2009,July,Bucharest,(RO),NA,NA,Romania
2009,July,Belgrade,(RS),NA,NA,Serbia
2009,July,Bratislava,(SK),NA,NA,Slovakia
2009,July,Ljubljana,(SI),NA,NA,Slovenia
2009,July,Madrid,(ES),5.761040733631904,16.99428596642178,Spain
2009,July,Stockholm,(SE),12.743203502311596,12.75404563612973,Sweden
2009,July,Bern,(CH),NA,9.239618910659715,Switzerland
2009,July,Kyiv,(UA),NA,NA,Ukraine
2009,July,Average,-,6.050328631680118,15.994782394437001,NA
2009,July,Average,-,5.919663532297476,NA,NA
2009,Aug,Vienna,(AT),5.981565830566716,17.601678762226058,Austria
2009,Aug,Brussels,(BE),4.5481730820470005,16.982343641757108,Belgium
2009,Aug,Sofia,(BG),NA,NA,Bulgaria
2009,Aug,Zagreb,(HR),NA,NA,Croatia
2009,Aug,Prague,(CZ),NA,NA,Czech Republic
2009,Aug,Copenhagen,(DK),6.813410183459052,21.811994609164422,Denmark
2009,Aug,Tallinn,(EE),NA,NA,Estonia
2009,Aug,Paris,(FR),4.663723354068786,10.778673106030778,France
2009,Aug,Berlin,(DE),6.383052794429759,19.726793759541277,Germany
2009,Aug,London,(GB),4.216052304645241,14.141682651616003,United Kingdom
2009,Aug,Athens,(GR),4.6678399176844465,12.94744344824999,Greece
2009,Aug,Budapest,(HU),NA,NA,Hungary
2009,Aug,Dublin,(IE),4.905546415407298,17.019820393392088,Ireland
2009,Aug,Rome,(IT),6.089539214361926,16.290488356385634,Italy
2009,Aug,Riga,(LV),NA,NA,Latvia
2009,Aug,Vilnius,(LT),NA,NA,Lithuania
2009,Aug,Luxembourg,City,4.448474236622074,16.028177257525083,Luxembourg
2009,Aug,Amsterdam,(NL),5.124748463866145,17.39880740477038,Netherlands
2009,Aug,Warsaw,(PL),NA,NA,Poland
2009,Aug,Lisbon,(PT),6.455836972063221,19.760228963166586,Portugal
2009,Aug,Bucharest,(RO),NA,NA,Romania
2009,Aug,Belgrade,(RS),NA,NA,Serbia
2009,Aug,Bratislava,(SK),NA,NA,Slovakia
2009,Aug,Ljubljana,(SI),NA,NA,Slovenia
2009,Aug,Madrid,(ES),5.761040733631904,16.99428596642178,Spain
2009,Aug,Stockholm,(SE),12.749114135297242,12.638592660301981,Sweden
2009,Aug,Bern,(CH),NA,9.239618910659715,Switzerland
2009,Aug,Kyiv,(UA),NA,NA,Ukraine
2009,Aug,Average,-,5.9148655455822015,15.983739531139406,NA
2009,Aug,Average,-,5.9148655455822015,NA,NA
2009,Sep,Vienna,(AT),5.981565830566716,17.601678762226058,Austria
2009,Sep,Brussels,(BE),4.50389955681475,16.947350658116775,Belgium
2009,Sep,Sofia,(BG),NA,NA,Bulgaria
2009,Sep,Zagreb,(HR),NA,NA,Croatia
2009,Sep,Prague,(CZ),NA,NA,Czech Republic
2009,Sep,Copenhagen,(DK),6.603394788762218,21.80133013008321,Denmark
2009,Sep,Tallinn,(EE),NA,NA,Estonia
2009,Sep,Paris,(FR),4.670501052521064,11.551396799566042,France
2009,Sep,Berlin,(DE),6.383052794429759,19.726793759541277,Germany
2009,Sep,London,(GB),4.2144645264753295,14.13923706069744,United Kingdom
2009,Sep,Athens,(GR),4.9225250982052415,12.94744344824999,Greece
2009,Sep,Budapest,(HU),NA,NA,Hungary
2009,Sep,Dublin,(IE),4.905546415407298,17.019820393392088,Ireland
2009,Sep,Rome,(IT),6.089539214361926,16.290488356385634,Italy
2009,Sep,Riga,(LV),NA,NA,Latvia
2009,Sep,Vilnius,(LT),NA,NA,Lithuania
2009,Sep,Luxembourg,City,4.4410648720735795,16.00083612040134,Luxembourg
2009,Sep,Amsterdam,(NL),5.124748463866145,17.39880740477038,Netherlands
2009,Sep,Warsaw,(PL),NA,NA,Poland
2009,Sep,Lisbon,(PT),6.455836972063221,19.760228963166586,Portugal
2009,Sep,Bucharest,(RO),NA,NA,Romania
2009,Sep,Belgrade,(RS),NA,NA,Serbia
2009,Sep,Bratislava,(SK),NA,NA,Slovakia
2009,Sep,Ljubljana,(SI),NA,NA,Slovenia
2009,Sep,Madrid,(ES),5.761040733631904,16.99428596642178,Spain
2009,Sep,Stockholm,(SE),12.749114137777099,12.534489471189653,Sweden
2009,Sep,Bern,(CH),NA,9.239618910659715,Switzerland
2009,Sep,Kyiv,(UA),NA,NA,Ukraine
2009,Sep,Average,-,6.0455253792677635,16.023284618716676,NA
2009,Sep,Average,-,5.914735318354018,NA,NA
2009,Oct,Vienna,(AT),5.981565830566716,17.601678762226058,Austria
2009,Oct,Brussels,(BE),4.47632082260156,17.01804714283177,Belgium
2009,Oct,Sofia,(BG),NA,NA,Bulgaria
2009,Oct,Zagreb,(HR),NA,NA,Croatia
2009,Oct,Prague,(CZ),NA,NA,Czech Republic
2009,Oct,Copenhagen,(DK),6.68617770835685,22.06265869760538,Denmark
2009,Oct,Tallinn,(EE),NA,NA,Estonia
2009,Oct,Paris,(FR),4.668991389100326,11.551396799566042,France
2009,Oct,Berlin,(DE),5.842995498380311,19.726793759541277,Germany
2009,Oct,London,(GB),4.14946967944853,13.704985177592432,United Kingdom
2009,Oct,Athens,(GR),4.802192191812389,12.94744344824999,Greece
2009,Oct,Budapest,(HU),NA,NA,Hungary
2009,Oct,Dublin,(IE),4.442959990617566,15.349830781087693,Ireland
2009,Oct,Rome,(IT),6.020778542272341,16.281091240125686,Italy
2009,Oct,Riga,(LV),NA,NA,Latvia
2009,Oct,Vilnius,(LT),NA,NA,Lithuania
2009,Oct,Luxembourg,City,4.6726671028428095,16.028177257525083,Luxembourg
2009,Oct,Amsterdam,(NL),5.124748463866145,17.39880740477038,Netherlands
2009,Oct,Warsaw,(PL),NA,NA,Poland
2009,Oct,Lisbon,(PT),6.455836972063221,19.760228963166586,Portugal
2009,Oct,Bucharest,(RO),NA,NA,Romania
2009,Oct,Belgrade,(RS),NA,NA,Serbia
2009,Oct,Bratislava,(SK),NA,NA,Slovakia
2009,Oct,Ljubljana,(SI),NA,NA,Slovenia
2009,Oct,Madrid,(ES),5.685408402644486,16.99428596642178,Spain
2009,Oct,Stockholm,(SE),12.737620405100884,12.404910623603492,Sweden
2009,Oct,Bern,(CH),NA,9.239618910659715,Switzerland
2009,Oct,Kyiv,(UA),NA,NA,Ukraine
2009,Oct,Average,-,5.839123785691009,15.903589816988509,NA
2009,Oct,Average,-,5.839123785691009,NA,NA
2009,Nov,Vienna,(AT),5.981565830566716,17.601678762226058,Austria
2009,Nov,Brussels,(BE),4.692938640602518,17.56168179476704,Belgium
2009,Nov,Sofia,(BG),NA,NA,Bulgaria
2009,Nov,Zagreb,(HR),NA,NA,Croatia
2009,Nov,Prague,(CZ),NA,NA,Czech Republic
2009,Nov,Copenhagen,(DK),6.773126831151998,22.115766240868787,Denmark
2009,Nov,Tallinn,(EE),NA,NA,Estonia
2009,Nov,Paris,(FR),4.670439022021576,11.551396799566042,France
2009,Nov,Berlin,(DE),5.842995498380311,19.726793759541277,Germany
2009,Nov,London,(GB),4.153732661325425,13.709770029389622,United Kingdom
2009,Nov,Athens,(GR),4.802192191812389,12.94744344824999,Greece
2009,Nov,Budapest,(HU),NA,NA,Hungary
2009,Nov,Dublin,(IE),4.442959990617566,15.349830781087693,Ireland
2009,Nov,Rome,(IT),6.029863560723969,16.274630722696973,Italy
2009,Nov,Riga,(LV),NA,NA,Latvia
2009,Nov,Vilnius,(LT),NA,NA,Lithuania
2009,Nov,Luxembourg,City,4.665257738294315,16.00083612040134,Luxembourg
2009,Nov,Amsterdam,(NL),5.124748463866145,17.39880740477038,Netherlands
2009,Nov,Warsaw,(PL),NA,NA,Poland
2009,Nov,Lisbon,(PT),6.455836972063221,19.760228963166586,Portugal
2009,Nov,Bucharest,(RO),NA,NA,Romania
2009,Nov,Belgrade,(RS),NA,NA,Serbia
2009,Nov,Bratislava,(SK),NA,NA,Slovakia
2009,Nov,Ljubljana,(SI),NA,NA,Slovenia
2009,Nov,Madrid,(ES),5.685408402644486,16.99428596642178,Spain
2009,Nov,Stockholm,(SE),12.749072630327545,12.18747884081522,Sweden
2009,Nov,Bern,(CH),NA,9.239618910659715,Switzerland
2009,Nov,Kyiv,(UA),NA,NA,Ukraine
2009,Nov,Average,-,5.99356967485175,15.92694272429885,NA
2009,Nov,Average,-,5.862152745314156,NA,NA
2009,Dec,Vienna,(AT),5.818750950791506,17.601678762226058,Austria
